,agent_name,properties
0,Amsterdam Housing,87 properties in Amsterdam
1,Vesteda,77 properties in Amsterdam
2,Grand Relocation,66 properties in Amsterdam
3,Interhouse verhuurmakelaars Amsterdam,47 properties in Amsterdam
4,ViaDaan,47 properties in Amsterdam
5,Parker & Williams Real Estate Services,46 properties in Amsterdam
6,HB Housing ,43 properties in Amsterdam
7,Van Huis Uit Makelaars,43 properties in Amsterdam
8,123Wonen Amsterdam,41 properties in Amsterdam
9,JLG Real Estate,39 properties in Amsterdam
10,Expats. Amsterdam Rentals ,39 properties in Amsterdam
11,Compass Housing Amsterdam,35 properties in Amsterdam
12,Renthouse Vastgoed,30 properties in Amsterdam
13,Koops Makelaardij Amsterdam,30 properties in Amsterdam
14,City Homes,30 properties in Amsterdam
15,Dutch Housing Centre BV,29 properties in Amsterdam
16,The Rental Agency Amsterdam,29 properties in Amsterdam
17,Collection Apartments,29 properties in Amsterdam
18,Relocation Advisers B.V.,28 properties in Amsterdam
19,Wielinga Makelaars      ,26 properties in Amsterdam
20,FRIS Vastgoed Management,25 properties in Amsterdam
21,Peter Bruin Makelaardij,24 properties in Amsterdam
22,Valerius Rentals,23 properties in Amsterdam
23,Alcoco.nl,22 properties in Amsterdam
24,Keij & Stefels Makelaars en Taxateurs,21 properties in Amsterdam
25,Expathousing.com (Amsterdam) ,21 properties in Amsterdam
26,Rappange Makelaardij,21 properties in Amsterdam
27,Aham Vastgoed,21 properties in Amsterdam
28,Amsterdam Beautiful Property Rental,20 properties in Amsterdam
29,BrinkBorgh Makelaardij,20 properties in Amsterdam
30,AHA (Another Home Abroad),20 properties in Amsterdam
31,MA Residences,20 properties in Amsterdam
32,Amstelland Makelaars,19 properties in Amsterdam
33,HousingNet,19 properties in Amsterdam
34,Broersma Makelaardij,18 properties in Amsterdam
35,Rotsvast Amsterdam,18 properties in Amsterdam
36,Vastgoed Unie Makelaardij ,18 properties in Amsterdam
37,AmsterHomes,17 properties in Amsterdam
38,Your Home Makelaardij,17 properties in Amsterdam
39,Wooove B.V.,17 properties in Amsterdam
40,Home of Orange,17 properties in Amsterdam
41,Prinsen Residence International,16 properties in Amsterdam
42,Haagen & Partners,16 properties in Amsterdam
43,KK Amsterdam,16 properties in Amsterdam
44,Eefje Voogd Makelaardij,16 properties in Amsterdam
45,Keizerskroon makelaars,16 properties in Amsterdam
46,Kuijs Reinder Kakes Amsterdam,16 properties in Amsterdam
47,First Class Housing,15 properties in Amsterdam
48,Out Amsterdam,15 properties in Amsterdam
49,Huisportaal.nl,15 properties in Amsterdam
50,Michiel Stolker Real Estate,15 properties in Amsterdam
51,Listings,15 properties in Amsterdam
52,Amstel Housing Amsterdam,15 properties in Amsterdam
53,Grand Apartments Amsterdam,14 properties in Amsterdam
54,Jaap In Huren,14 properties in Amsterdam
55,Hoen Vastgoedbeheer ,14 properties in Amsterdam
56,Holland Home Management,13 properties in Amsterdam
57,Domica Amsterdam,13 properties in Amsterdam
58,Match&Rent,13 properties in Amsterdam
59,LV Housing,13 properties in Amsterdam
60,TVN Real Estate,12 properties in Amsterdam
61,Homecrew,12 properties in Amsterdam
62,De Graaf & Groot Makelaars,12 properties in Amsterdam
63,G&D&Y Housing,12 properties in Amsterdam
64,Executive Home Rentals  Amsterdam,12 properties in Amsterdam
65,Amsterdam Wonen,12 properties in Amsterdam
66,Inter Immo Amsterdam,12 properties in Amsterdam
67,Expat Rentals,11 properties in Amsterdam
68,RE/MAX Pro,11 properties in Amsterdam
69,Hallie & Van Klooster Makelaardij,11 properties in Amsterdam
70,People On The Move Expat Rentals,11 properties in Amsterdam
71,LIV Residential,11 properties in Amsterdam
72,Housing Experts,11 properties in Amsterdam
73,Amstel Vastgoed,11 properties in Amsterdam
74,Hakkenbroek Housing Company,10 properties in Amsterdam
75,A1 Executive Estate,10 properties in Amsterdam
76,Smit & Heinen Makelaars en Taxateurs,10 properties in Amsterdam
77,Heeren Makelaars B.V.,10 properties in Amsterdam
78,27 Huis Makelaars,10 properties in Amsterdam
79,Forte Makelaars,10 properties in Amsterdam
80,IdealEstate Rental Consultancy,10 properties in Amsterdam
81,Van Maarschalkerwaart Makelaars,10 properties in Amsterdam
82,Engel en Volkers Amsterdam Centrum,10 properties in Amsterdam
83,Oei Housing Amsterdam - Expat Apartments,10 properties in Amsterdam
84,Amsterdamse Maatschappij,9 properties in Amsterdam
85,Linger OG,9 properties in Amsterdam
86,Rotterdam Apartments,9 properties in Amsterdam
87,Klok Real Estate,9 properties in Amsterdam
88,CITYHOP Real Estate,9 properties in Amsterdam
89,Bright Apartments & Housing Services,9 properties in Amsterdam
90,PropertyManager Amsterdam,8 properties in Amsterdam
91,Skyreach Stay,8 properties in Amsterdam
92,Het Woonarchief,8 properties in Amsterdam
93,Amsterdam Rentals,8 properties in Amsterdam
94,Cosmo Housing,8 properties in Amsterdam
95,The Perfect House,8 properties in Amsterdam
96,MTH Makelaars,7 properties in Amsterdam
97,DSTRCT Amsterdam,7 properties in Amsterdam
98,+31 Vastgoed,7 properties in Amsterdam
99,PC22 Makelaars-taxateurs o.z.,7 properties in Amsterdam
100,City Housing Amsterdam,7 properties in Amsterdam
101,Rosmuller Makelaars,7 properties in Amsterdam
102,Allround Housing,7 properties in Amsterdam
103,Jimble,7 properties in Amsterdam
104,Ramon Mossel Makelaardij,7 properties in Amsterdam
105,Agency 2030,7 properties in Amsterdam
106,House of Rentals,7 properties in Amsterdam
107,HouseHunting Amsterdam,7 properties in Amsterdam
108,HOUSING AGENCY,6 properties in Amsterdam
109,Engel en Volkers Amsterdam ,6 properties in Amsterdam
110,Huisman Makelaardij B.V.,6 properties in Amsterdam
111,Eday Housing Services,6 properties in Amsterdam
112,J.T.M.D. vastgoed beheer B.V.,6 properties in Amsterdam
113,CS Housing,6 properties in Amsterdam
114,F.E. Real Estate,6 properties in Amsterdam
115,Inxxx Rentals,6 properties in Amsterdam
116,Amstel Makelaardij o.g.,6 properties in Amsterdam
117,Find your room,6 properties in Amsterdam
118,SPR Property,6 properties in Amsterdam
119,Von Poll Real Estate - Centrum,6 properties in Amsterdam
120,Urban Homies,6 properties in Amsterdam
121,Amsterdam Rental Homes,6 properties in Amsterdam
122,Recourt Makelaars,6 properties in Amsterdam
123,I AM REAL ESTATE,6 properties in Amsterdam
124,Property Pool,6 properties in Amsterdam
125,Mac Housing,5 properties in Amsterdam
126,Prestige Housing,5 properties in Amsterdam
127,020 Beheer,5 properties in Amsterdam
128,Residential Real Estate,5 properties in Amsterdam
129,PRO makelaars,5 properties in Amsterdam
130,Bianca Combee Housing Service,5 properties in Amsterdam
131,Relocation-Amsterdam,5 properties in Amsterdam
132,Vereniging Hendrick de Keyser,5 properties in Amsterdam
133,IB Makelaars,5 properties in Amsterdam
134,AA real estate solutions,5 properties in Amsterdam
135,VERRA Real Estate Amsterdam,5 properties in Amsterdam
136,Zen Home Rentals,5 properties in Amsterdam
137,Visch & Van Zeggelaar Amsterdam,5 properties in Amsterdam
138,Nanninga & Burger Makelaardij,5 properties in Amsterdam
139,Great Expatation,5 properties in Amsterdam
140,A Plus Apartments,4 properties in Amsterdam
141,Amstel Property Agency,4 properties in Amsterdam
142,NOORESTATE,4 properties in Amsterdam
143,Makelaarskantoor Carla van den Brink,4 properties in Amsterdam
144,marianrudolphus.nl,4 properties in Amsterdam
145,Van Der Huizen,4 properties in Amsterdam
146,Amsterdam Real Estate,4 properties in Amsterdam
147,The Rental Shop,4 properties in Amsterdam
148,Brummel & Beuk Makelaars ,4 properties in Amsterdam
149,020 Rental,4 properties in Amsterdam
150,SPiL makelaars,4 properties in Amsterdam
151,Amsterdam Sotheby's International Realty,4 properties in Amsterdam
